Date,Miner Revenue
2012-02-17,6908.72128795
2012-02-18,7603.68549153
2012-02-19,8553.21621826
2012-02-20,7902.64479077
2012-02-21,7004.35283223
2012-02-22,6453.19851658
2012-02-23,7953.433529
2012-02-24,8305.20704941
2012-02-25,7454.30575197
2012-02-26,8253.04870838
2012-02-27,7503.37778201
2012-02-28,7706.04736552
2012-02-29,8003.49948471
2012-03-01,8953.65116503
2012-03-02,7556.45537862
2012-03-03,6704.6708826
2012-03-04,5653.32131104
2012-03-05,6853.77356746
2012-03-06,7255.42830118
2012-03-07,6854.60175738
2012-03-08,7704.0211343
2012-03-09,7804.08147223
2012-03-10,8404.1819111
2012-03-11,8254.39026369
2012-03-12,6702.76833951
2012-03-13,8303.929744
2012-03-14,8011.4625264
2012-03-15,6855.1367538
2012-03-16,6053.48120577
2012-03-17,7658.73077121
2012-03-18,8503.64763934
2012-03-19,8003.26727292
2012-03-20,7154.26657468
2012-03-21,8004.67126807
2012-03-22,7903.35420326
2012-03-23,7903.37842732
2012-03-24,6304.28174433
2012-03-25,9214.88836508
2012-03-26,7856.98000255
2012-03-27,7553.5272506
2012-03-28,7804.29409007
2012-03-29,7504.70500298
2012-03-30,7054.674722
2012-03-31,7704.2526487
2012-04-01,8504.67044821
2012-04-02,7103.79019858
2012-04-03,5804.23804944
2012-04-04,6654.97549642
2012-04-05,6854.92289303
2012-04-06,5855.08743188
2012-04-07,6804.55230007
2012-04-08,6453.83199687
2012-04-09,7503.7446752
